Dnes je nádherný slunečný den.,"prostě, nemůžu, jde, mnou, jde, nemůžu, dělat, tebou",Heute ist ein schöner sonniger Tag.,"alten, CDU, allein, Entwicklung, zusammen, mir, dagegen, Dollar, zunächst"
Byl jsem ohromen úžasnou architekturou tohoto města.,"nemůžeš, pět, musíte, muset, zabít, říkám, kdybych, líbí, jaký, pojďte",Ich war erstaunt über die erstaunliche Architektur dieser Stadt.,"gibt, ich, Es, seine, habe, wir, diesem, dieser, ich, seit, dann, seiner, können, dieser"
Tato kniha je napsána vysokým jazykem.,"tisíc, cenu, žes, sami, zas, musela, šla, cenu, kapitán",Dieses Buch ist in hoher Sprache geschrieben.,"AG, recht, August, einigen, Film, nachdem, Euro, völlig, Sprecher, Buch"
Na konci kurzu jsem absolvoval složitý zkouškový test.,"chyba, skvěle, dole, velké, dámy, odkud, vezmu, všude, chyba, pouze, mnohem, vězení",Am Ende des Kurses habe ich eine komplexe Prüfung bestanden.,"etwa, bereits, waren, gibt, ab, sagte, will, wurden, gibt, beim, ihr, neue, DM, Im, Er"
Výsledky studie naznačují vysoký stupeň korelace.,"Lily, cizí, nedělá, bezpečnost, pamatuji, nemusel, misi, řeči, nedělá",Die Studienergebnisse deuten auf eine hohe Korrelation hin.,"lediglich, Seiten, mindestens, erstmals, Beginn, Februar, setzt, zeigen, Krieg, größten, erstmals, erstmals"
Měl jsem možnost spolupracovat s renomovanými odborníky.,"jinak, skvělý, dveře, srdce, táta, dám, buď, svět, nad, jednoho","Ich hatte die Möglichkeit, mit renommierten Experten zusammenzuarbeiten.","ihn, rund, ihrer, Deutschland, Ende, heute, Menschen, Zeit, sondern, Menschen, Eine, uns"
Prozkoumali jsme různé aspekty lidského chování.,"paule, věku, časem, zapomenout, menší, sme, vezmeme, steve, stala",Wir haben verschiedene Aspekte des menschlichen Verhaltens untersucht.,"gern, schlecht, Basis, Fehler, Schutz, Verantwortung, fallen, Aktion, fahren, erschienen, Suche, Schutz"
Nový výzkum přináší důležité poznatky do oblasti biotechnologie.,"pusťte, mrtvej, přichází, slyšíte, těžko, způsobem, dnešní, um, slyšíte, přichází, vemte, mrtvej",Neue Forschung bringt wichtige Einblicke in die Biotechnologie.,"zum, Frankreich, Grund, Bild, Stunden, nämlich, Rolle, Mrd., eigentlich, vielleicht, eigene, scheint"
Životní prostředí je klíčovým tématem současných debat.,"očima, dostanou, omluvit, bál, vítr, babek, váma, odjet, omluvit, bál",Das Umfeld ist ein zentrales Thema in aktuellen Debatten.,"kein, vier, machen, allerdings, Unternehmen, kein, alles, viele, allerdings, gut, kein, etwas, alles, Am"
Vláda přijala opatření ke zlepšení dopravní infrastruktury.,"prsty, večírek, kontakt, denně, zasranej, samý, zticha, pracuju, těma, nima",Die Regierung hat Maßnahmen zur Verbesserung der Verkehrsinfrastruktur ergriffen.,"Sache, Wochenende, stand, Hälfte, Weise, genug, spielt, hoch, berichtet, Wochenende, obwohl, blieb, Kopf, obwohl"
Diskuze na konferenci se zaměřila na etické aspekty vědeckého výzkumu.,"do, už, tak, kontrolovat, mě, já, jsi, petr, mi, jsem, stupně, tak, nedotýkej, tak, oceánu",Die Diskussion auf der Konferenz konzentrierte sich auf die ethischen Aspekte der wissenschaftlichen Forschung.,"gleich, solche, Hilfe, März, tun, Kosten, solche, Ziel, solche, gleich, erklärt, halten, März, Kosten, Seite, lang, Monaten, vielen, hin, solche, Monaten"
